accession,title,organism,platform_type,gpl,n_samples_total,n_cases,n_controls,tissue,has_healthy_ctrl,notes,query_source,summary_excerpt
GSE255174,The spatial transcriptomic landscape of fibrosing ILDs [Nanostring],Homo sapiens,,30173,179,,,,,,rnaseq,Fibrosing interstitial lung diseases (ILDs) encompass a diverse range of scarring disorders that lead to progressive lung failure. Previous gene expression profiling studies focused on idiopathic pulm
GSE255359,High mechanical conditioning by tumor extracellular matrix stiffness is a predictive biomarker for anti-fibrotic therapy,Homo sapiens,,21697,108,,,,,,rnaseq,"Background Tumor progression has been linked to stiffening of the extracellular matrix (ECM) caused by fibrosis. Cancer cells can be mechanically conditioned by stiff ECM, exhibiting a 1004-gene signa"
GSE260777,Cloning and comparison of human P63+ progenitor cells from various lung diseases [bulkRNA-seq],Homo sapiens,,23227,44,,,,,,broad,"KRT5+P63+ progenitor cells located in the basal layer of the airway epithelium have been identified as a promising candidate for lung epithelium repair. To investigate P63+ progenitor cells in human, "
GSE261070,Dysfunctional neutrophil Type 1 interferon responses in preschool children with recurrent wheezing and IL-4-mediated aer,Homo sapiens,,24676,134,,,,,,rnaseq,The innate mechanisms associated with viral exacerbations in preschool children with recurrent wheezing are not understood.  We assessed differential gene expression in blood neutrophils from preschoo
GSE261616,SS-31 protects against paraquat-induced lung injury and fibrosis via inhibition of the MAPK signal pathway,Homo sapiens,,24676,6,,,,,,rnaseq,Aims: To explore the therapeutic effect of SS-31 on lung injury and lung fibrosis caused by paraquat (PQ). Methods: In vivo experiments involved the intraperitoneal injection of PQ solution into C57BL
GSE262882,Activation of Fibroblast LRP1 by AT2-secreted MDK Affects OTUB1/SLC7A11 Ubiquitination to Inhibit Fibroblast Ferroptosis,Homo sapiens,,20301,6,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF), a chronic interstitial fibrosing pneumonia of unknown cause, is characterized by an irreversible decrease in alveolar cells and an increase in fibroblasts. In our "
GSE262922,Effect of overexpssion Kallistatin(SERPINA4) in HGC-27 cell line,Homo sapiens,,20301,6,,,,,,rnaseq,"Kallistatin has been demonstrated to possess inhibitory effects across several malignancies, including hepatocellular carcinoma, gastric cancer and breast cancer. Subsequent evidence has increasingly "
GSE263043,Combined antagonism of Interleukin 6 and Oncostatin M provide both anti-inflammatory and anti-fibrotic benefit in pulmon,Mus musculus; Homo sapiens,,20301;21103;30172;24247,171,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE263992,Human Muse cells isolated from preterm- and term-umbilical cord delivered therapeutic effects in rat bleomycin-induced l,Homo sapiens,,24676,9,,,,,,rnaseq,Background Bleomycin (BLM)-induced lung injury is characterized by the mixed histopathologic changes with inflammation and fibrosis. These changes are also observed in human patients with bronchopulmo
GSE264038,WI-38 cell line as model for myofibroblast and lipofibroblast switch,Homo sapiens,,24676,12,,,,,,rnaseq,Background: Myofibroblasts (MYFs) are generally considered the principal culprits in excessive extracellular matrix deposition and scar formation in the pathogenesis of lung fibrosis. Lipofibroblasts 
GSE264050,Parkinson's disease (PD) genetic asymmetry in neuronal nuclei from paired hemisphere samples of prefrontal cortex,Homo sapiens,,18573,87,,,,,,rnaseq,"We measured gene expression in neuronal nuclei from cortex derived from PD (18 male, 10 female) and healthy control (5 male, 6 female) brains.  Each brain sample consisted of cortex from both right an"
GSE264196,A 50-gene high-risk profile predictive of COVID-19 and Idiopathic Pulmonary Fibrosis mortality originates from a molecul,Homo sapiens,,30173,20,,,,,,rnaseq,Background: We previously identified a 50-gene signature that distinguished two groups of patients with increased risk of COVID-19 and IPF mortality. In this study we aimed to validate our previous fi
GSE264233,Exploring an essential biomarker in pulmonary fibrosis: an integrated and cross-disease approach with spatial transcript,Homo sapiens,,24676,5,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE26594,Increased Cell Surface Fas Expression is Necessary to Sensitize Lung Fibroblasts to Fas Ligation-Induced Apoptosis: Impl,Homo sapiens,,570,6,,,,,,array,"Idiopathic pulmonary fibrosis (IPF) is associated with the accumulation of collagen-secreting fibroblasts and myofibroblasts in the lung parenchyma. Many mechanisms contribute to their accumulation, i"
GSE267213,Transcriptional changes in A549 cells after four weeks of exposure to 30 μg/ml diesel exhaust particles measured by RNA-,Homo sapiens,,24676,8,,,,,,rnaseq,"Diesel exhaust particles (DEP), which contain hazardous compounds, are emitted during the combustion of diesel. As approximately one-third of the vehicles worldwide use diesel, there are growing conce"
GSE267521,The MUC5B IPF risk variant promotes a distal airway secretory phenotype and loss of alveolar markers,Homo sapiens,,24676,310,,,,,,rnaseq,"The dominant risk factor for the development of idiopathic pulmonary fibrosis (IPF) is a common variant in the promoter region of the airway mucin MUC5B, variant rs35705950. The MUC5B promoter variant"
GSE267782,Mechanical stretch induces senescence of alveolar epithelial cells and drives fibroblast activation by paracrine mechani,Homo sapiens,,23934,8,,,,,,rnaseq,"Severe lung injury requiring mechanical ventilation may lead to secondary fibrosis. Senescence, a cell response characterized by cell cycle arrest and a shift towards a proinflammatory/profibrotic phe"
GSE267784,Mechanical stretch induces senescence of alveolar epithelial cells and drives fibroblast activation by paracrine mechani,Homo sapiens,,23934,7,,,,,,rnaseq,"Severe lung injury requiring mechanical ventilation may lead to secondary fibrosis. Senescence, a cell response characterized by cell cycle arrest and a shift towards a proinflammatory/profibrotic phe"
GSE267787,Mechanical stretch induces senescence of alveolar epithelial cells and drives fibroblast activation by paracrine mechani,Homo sapiens,,23934,10,,,,,,rnaseq,"Severe lung injury requiring mechanical ventilation may lead to secondary fibrosis. Senescence, a cell response characterized by cell cycle arrest and a shift towards a proinflammatory/profibrotic phe"
GSE267943,Effect of knockdown of junctional genes JUP and PLEC on Small Airway Epithelial Cells (SAECs)  in the context of epithel,Homo sapiens,,24676,12,,,,,,rnaseq,JUP and PLEC are downregulated in the distal bronchioles of IPF patients. To understand the relevance of this in the epithelial sloughing (desquamation) phenotype observed in distal bronchioles of IPF
GSE268362,Regional Lung tissue methylation study,Homo sapiens,,21145,95,,,,,,broad,Multiple samples from different regions and severities of IPF disease were collected and methylation analysis was performed.
GSE270973,mTOR Signaling Regulates Multiple Metabolic Pathways in Human Lung Fibroblasts After TGF-β and in Pulmonary Fibrosis,Homo sapiens,,20301,28,,,,,,rnaseq,We investigated the effects of mTOR and ATF4 on gene expression in human lung fibroblasts using RNA-sequencing. We found both ATF4 and mTOR regulate expression of genes that are involved in controllin
GSE271789,Single-Cell Analysis Reveals Novel Immune Perturbations in Fibrotic Hypersensitivity Pneumonitis,Homo sapiens,,34281;20301,76,,,,,,rnaseq,Rationale: Fibrotic hypersensitivity pneumonitis is a debilitating interstitial lung disease driven by incompletely understood immune mechanisms. Objectives: To elucidate immune aberrations in fibroti
GSE271994,Insights into the Cellular and Molecular Mode of Action behind the Anti-Fibrotic Effects of Nerandomilast,Homo sapiens,,24676,42,,,,,,rnaseq,The quest for innovative pharmacologic interventions in idiopathic pulmonary fibrosis (IPF) is a challenging journey. The complexity of the disease demands a comprehensive approach that targets multip
GSE273468,Identification of Ephrin type-B receptor 4 (EphB4) as a critical mediator of tissue fibrosis,Homo sapiens; Mus musculus,,21626;30172;21697,45,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE273882,Arginine Promotes The Activation of Human Lung Fibroblasts Independent of Its Metabolism,Homo sapiens,,24676,52,,,,,,broad,"We investigated TGF-beta-induced gene expression in normal human lung fibroblasts (NHLFs) under different media setting, and diffrenece in TGF-beta-induced gene expression between control human male f"
GSE274296,Phase Separation of MRG15 delays cellular senescence [RNA-Seq],Homo sapiens,,24676,4,,,,,,rnaseq,"Phase separation, a biophysical process that segregates subcellular environments into condensates, is recognized for its role in regulating transcription. However, the extent of its influence on cellu"
GSE274780,The glutamate receptor antagonist ifenprodil inhibits hepatitis E virus infection,Homo sapiens,,18573,12,,,,,,rnaseq,"Infection with hepatitis E virus (HEV) represents a global problem, with over 20 million people infected annually. No specific antiviral drugs are available for treating HEV infection, necessitating t"
GSE275264,Single cell Transcriptomes Reveals Aberrant Airway cell-cell interations in Pulmonary Fibrosis,Homo sapiens,,20301,16,,,,,,rnaseq,We used single-cell RNA-seq to compare epithelial and immune cell populations in non-manipulated brushings of the proximal airway mucosa in patients newly-diagnosed with IPF (n=9) as compared to healt
GSE275700,Involvement of lncRNA MIR205HG in idiopathic pulmonary fibrosis and regulation of IL33 via Alu elements (part 1),Homo sapiens,,24676,6,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) causes remodelling of distal lung, leading to respiratory failure. Pulmonary remodelling is characterised histologically not only by fibrosis but by also appearance"
GSE275709,Involvement of lncRNA MIR205HG in idiopathic pulmonary fibrosis and regulation of IL33 via Alu elements (part 2),Homo sapiens,,24676,4,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) causes remodelling of distal lung, leading to respiratory failure. Pulmonary remodelling is characterised histologically not only by fibrosis but by also appearance"
GSE275717,Involvement of lncRNA MIR205HG in idiopathic pulmonary fibrosis and regulation of IL33 via Alu elements (part 3),Homo sapiens,,24676,6,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) causes remodelling of distal lung, leading to respiratory failure. Pulmonary remodelling is characterised histologically not only by fibrosis but by also appearance"
GSE275720,Involvement of lncRNA MIR205HG in idiopathic pulmonary fibrosis and regulation of IL33 via Alu elements (part 4),Homo sapiens,,24676,4,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) causes remodelling of distal lung, leading to respiratory failure. Pulmonary remodelling is characterised histologically not only by fibrosis but by also appearance"
GSE276568,mRNA level comparison of control and IPF,Homo sapiens,,16791,10,,,,,,broad,"In order to distinguish difference between control and IPF, primary cell lines were used to extract mRNA and the RNAseq was conducted. Some genes related to fibrosis were higher in IPF samples."
GSE276934,Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in p,Homo sapiens,,34281,1,,,,,,broad,"Pulmonary fibrosis (PF) is a chronic, progressive condition that represents the end-stage of many interstitial lung diseases (ILDs). Single-cell transcriptomic studies have revealed disease-emergent e"
GSE276945,Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in p,Homo sapiens,,33762;34281,46,,,,,,broad,This SuperSeries is composed of the SubSeries listed below.
GSE279404,Wilms’ tumor 1 impairs apoptotic clearance of fibroblasts in distal fibrotic lung lesions,Homo sapiens,,21697,29,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) is a fatal fibrotic lung disease characterized by impaired fibroblast clearance, accumulation, and excessive extracellular matrix (ECM) protein production. Wilms' T"
GSE27957,Peripheral Blood Mononuclear Cell Gene Expression Profiles May Predict Poor Outcome in Idiopathic Pulmonary Fibrosis [Af,Homo sapiens,,5175,45,,,,,,array,Background:  In this study we aimed to identify peripheral blood mononuclear cell (PBMC) gene expression profiles predictive of poor outcomes in idiopathic pulmonary fibrosis (IPF) Methods:  Microarra
GSE279637,Senescent lung fibroblasts in idiopathic pulmonary fibrosis facilitate non-small cell lung cancer progression by secreti,Homo sapiens,,24676,6,,,,,,rnaseq,Lung cancer is a fatal complication of idiopathic pulmonary fibrosis (IPF) with a poor prognosis. Current treatments are insufficient in improving the prognosis of lung cancer patients with comorbid i
GSE28042,Peripheral Blood Mononuclear Cell Gene Expression Profiles May Predict Poor Outcome in Idiopathic Pulmonary Fibrosis [Ag,Homo sapiens,,6480,94,,,,,,array,Background:  In this study we aimed to identify peripheral blood mononuclear cell (PBMC) gene expression profiles predictive of poor outcomes in idiopathic pulmonary fibrosis (IPF) Methods:  Microarra
GSE281481,Single-cell multi-omic analysis of post-transplant mesenchymal cells reveals molecular signatures and regulators of lung,Homo sapiens,,34284,8,,,,,,rnaseq,Chronic lung allograft dysfunction (CLAD) is a critical challenge in lung transplantation. Dysregulated gene expression and epigenomic states in lung mesenchymal cells (MCs) play a key role in these c
GSE281482,Single-cell multi-omic analysis of post-transplant mesenchymal cells reveals molecular signatures and regulators of lung,Homo sapiens,,24676,8,,,,,,rnaseq,Chronic lung allograft dysfunction (CLAD) is a critical challenge in lung transplantation. Dysregulated gene expression and epigenomic states in lung mesenchymal cells (MCs) play a key role in these c
GSE281994,JUNB O-GlcNAcylation-mediated Promoter Accessibility of Metabolic Genes Modulates Distinct Epithelial Lineage in Pulmona,Homo sapiens,,24676,8,,,,,,rnaseq,"Harnessing a 3D patient derived organoid model and multi-omics approach, we provide the first inventory of the connection between metabolic alteration, chromatin accessibility, and transcriptional reg"
GSE282149,Single-cell RNA-Seq Analysis to investigate the potential of epithelial stem cells from human small bronchi in the treat,Homo sapiens,,24676,8,,,,,,rnaseq,Basal cells (BCs) are essential airway stem cells to maintain and repair the integrity of airway epithelium. We performed scRNA-seq to evaluate the cultured airway basal cell condition and heterogenei
GSE28221,Peripheral Blood Mononuclear Cell Gene Expression Profiles May Predict Poor Outcome in Idiopathic Pulmonary Fibrosis,Homo sapiens,,6480;5175,139,,,,,,array,Background:  In this study we aimed to identify peripheral blood mononuclear cell (PBMC) gene expression profiles predictive of poor outcomes in idiopathic pulmonary fibrosis (IPF) Methods:  Microarra
GSE282248,Single-cell multi-omic analysis of post-transplant mesenchymal cells reveals molecular signatures and regulators of lung,Homo sapiens,,24676,5,,,,,,rnaseq,Chronic lung allograft dysfunction (CLAD) is a critical challenge in lung transplantation. Dysregulated gene expression and epigenomic states in lung mesenchymal cells (MCs) play a key role in these c
GSE282322,JUNB O-GlcNAcylation-mediated Promoter Accessibility of Metabolic Genes Modulates Distinct Epithelial Lineage in Pulmona,Homo sapiens,,24676,24,,,,,,rnaseq,"Harnessing a 3D patient derived organoid model and multi-omics approach, we provide the first inventory of the connection between metabolic alteration, chromatin accessibility, and transcriptional reg"
GSE282384,Substrate Stiffness Dictates Unique Doxorubicin-induced Senescence-associated Secretory Phenotypes and Transcriptomic Si,Homo sapiens,,24676,12,,,,,,rnaseq,"Cells are subjected to dynamic mechanical environments which impart forces and induce cellular responses. In age-related conditions like pulmonary fibrosis, there is both an increase in tissue stiffne"
GSE282639,Ectopic expression of MUC5B in the respiratory bronchiole initiates ER stress in the IPF lung,Homo sapiens,,33484,43,,,,,,broad,Subcellular spatial transcriptomics on lung tissue from idiopathic pulmonary fibrosis (IPF) and unaffected control subjects to further understand the pathogenesis of MUC5B-driven lung fibrosis.
GSE283072,RNA-Sequencing of Acute interstitial pneumonia compared with Control Lung,Homo sapiens,,24676,20,,,,,,rnaseq,"Acute Interstitial Pneumonia (AIP) represents a severe form of diffuse lung injury within the idiopathic interstitial pneumonia spectrum. Given the limited understanding of its molecular basis, this s"
GSE283175,Involvement of lncRNA MIR205HG in idiopathic pulmonary fibrosis and regulation of IL33 via Alu elements,Homo sapiens,,24676,6,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) causes remodelling of distal lung, leading to respiratory failure. Pulmonary remodelling is characterised histologically not only by fibrosis but by also appearance"
GSE283885,Regulation of lung progenitor plasticity and repair by fatty acid oxidation,Homo sapiens,,24676,15,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) is an age-related interstitial lung disease, characterized by inadequate alveolar regeneration and ectopic bronchiolization. While some molecular pathways regulatin"
GSE284531,Alteration in the transcriptome of lung basal epithelial cells isolated from IPF lungs upon genetic knockdown of  SOX9,Homo sapiens,,15433,6,,,,,,rnaseq,"Pulmonary fibrosis (PF) is associated with various chronic lung diseases such as idiopathic pulmonary fibrosis (IPF), systemic sclerosis (SSc), and cystic fibrosis (CF). It is characterized by the pro"
GSE284733,Development of stem cell derived type  alveolar epithelial cells (AEC2s) for pulmonary fibrosis modeling,Homo sapiens,,24676,8,,,,,,rnaseq,"AEC2s are putatively major cells in development of lung diseases like Idiopathic Pulmonary Disease (IPF). For studying IPF-related phenotypes of AEC2s, We used differentiated AEC2s (diff-AEC2s) with s"
GSE285246,Spatially resolved atlas of IPF fibroblastic foci identifies that PAK2 kinase activation is involved in fibrogenesis,Homo sapiens,,28038;20795,12,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) is a fatal interstitial lung disease characterized by progressive fibrosis of the lung parenchyma. To identify potential therapeutic targets for IPF, we conducted s"
GSE285515,NKG2D blockade impairs cytotoxic CD8+ tissue resident memory T cell accumulation and attenuates severity of chronic lung,Homo sapiens,,16791,15,,,,,,rnaseq,"Chronic lung allograft dysfunction (CLAD) significantly limits long-term survival following lung transplantation. To identify potential targets for CLAD prevention, T cells from explanted CLAD lungs a"
GSE286040,Endothelial Sensitivity to Pro-Fibrotic Signals Links Systemic exposure to Pulmonary Fibrosis,Homo sapiens,,34281,96,,,,,,rnaseq,Pulmonary fibrosis (PF) is a life-threatening condition characterised by excessive extracellular matrix deposition and tissue scarring. While much of PF research has focused on alveolar epithelial cel
GSE286058,Copper-enriched automotive brake wear particles perturb human alveolar cellular homeostasis,Homo sapiens,,24676,24,,,,,,rnaseq,"Background Airborne fine particulate matter with diameter < 2.5 μm (PM2.5), can reach the alveolar regions of the lungs, and is associated with over 4 million premature deaths per year worldwide. Howe"
GSE286182,Single Nuclear RNAseq and MultiOme of IPF and Control Lung Tissue,Homo sapiens,,20301;24676,75,,,,,,rnaseq,"Differentially affected regions of Idiopathic Pulmonary Fibrosis (IPF) lungs were assessed for changes in cell composition, gene expression and chromatin accessibility."
GSE287058,Cellular Quiescence Displays a Transcriptional Inflammatory Phenotype Similar to the One in Cellular Senescence [bulk RN,Homo sapiens,,20301;24676,40,,,,,,rnaseq,"Cellular senescence, traditionally viewed as the irreversible arrest of proliferating cells in response to stress and DNA damage, is a key mechanism underlying cellular aging. Several studies have ide"
GSE287059,Cellular Quiescence Displays a Transcriptional Inflammatory Phenotype Similar to the One in Cellular Senescence [scRNA-s,Homo sapiens,,18573,2,,,,,,rnaseq,"Cellular senescence, traditionally viewed as the irreversible arrest of proliferating cells in response to stress and DNA damage, is a key mechanism underlying cellular aging. Several studies have ide"
GSE288887,Pulmonary osteoclast-like cells in silica induced pulmonary fibrosis,Homo sapiens,,24676,10,,,,,,rnaseq,"The pathophysiology of silicosis is poorly understood, limiting development of therapies for those who have been exposed to the respirable particle. We explored mechanisms of silica-induced pulmonary "
GSE289676,Human PSC-based Modeling of Pulmonary Fibrosis Identifies p300/CBP Inhibition as a Suppressor of Alveolar Transitional C,Homo sapiens,,30173,9,,,,,,rnaseq,"In this study, we conducted a drug screening using an in vitro pulmonary fibrosis model and identified p300/CBP inhibitors as candidate therapeutic agents. We investigated the mechanisms underlying th"
GSE289678,Human PSC-based Modeling of Pulmonary Fibrosis Identifies p300/CBP Inhibition as a Suppressor of Alveolar Transitional C,Homo sapiens,,30173,9,,,,,,rnaseq,"In this study, we conducted a drug screening using an in vitro pulmonary fibrosis model and identified p300/CBP inhibitors as candidate therapeutic agents. We investigated the mechanisms underlying th"
GSE289679,Modeling of spontaneous pulmonary fibrosis via cellular senescence in type 2 alveolar epithelial cells derived from huma,Homo sapiens,,30173,6,,,,,,rnaseq,Telomere dysfunction in type II alveolar epithelial (AT2) cells causes pulmonary fibrosis in a subset of patients. TRF2 is a key component of the shelterin complex (SC) which prevents abnormally short
GSE289682,Modeling of spontaneous pulmonary fibrosis via cellular senescence in type 2 alveolar epithelial cells derived from huma,Homo sapiens,,30173,6,,,,,,rnaseq,Telomere dysfunction in type II alveolar epithelial (AT2) cells causes pulmonary fibrosis in a subset of patients. TRF2 is a key component of the shelterin complex (SC) which prevents abnormally short
GSE289816,Epigenome-wide analysis identifies pollution-sensitive loci in fibrotic interstitial lung disease,Homo sapiens,,34056,479,,,,,,broad,Rationale: Particulate matter <=2.5um (PM2.5) adversely impacts patients with fibrotic interstitial lung disease (fILD). Objective: To determine whether PM2.5-associated epigenetic alterations contrib
GSE290450,Mapping the Molecular Signature of Progressive Multiple Sclerosis [194017],Homo sapiens,,24676,78,,,,,,rnaseq,"Multiple Sclerosis is a complex neurological disorder characterised by inflammation, demyelination, and neurodegeneration of the central nervous system. While treatments exist for relapsing-remitting "
GSE290554,Mapping the Molecular Signature of Progressive Multiple Sclerosis,Homo sapiens,,30882;24676,94,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE290885,Revealing the impact of Pseudomonas aeruginosa quorum sensing molecule 2’-aminoacetophenone on human bronchial-airway ep,Homo sapiens,,16791,8,,,,,,rnaseq,"Pseudomonas aeruginosa (PA) causes severe respiratory infections utilizing multiple virulence functions. Our previous findings on PA quorum sensing (QS)-regulated small molecule, 2’-aminoacetophenone "
GSE291190,Transcriptomics-based Screening of Repurposing Drug for Idiopathic Pulmonary Fibrosis,Homo sapiens,,24676,12,,,,,,rnaseq,IPF is a pathological condition resulting from injury to the lungs and an ensuing fibrotic response leading to thickening of the alveolar walls and the obliteration of the alveolar space. The etiology
GSE291867,Gene expression profile Predictor on chemical Structures (GPS): Deep Learning-based platform to screen and design novel ,Homo sapiens,,24676,27,,,,,,broad,This SuperSeries is composed of the SubSeries listed below.
GSE292956,Spatial  transcriptomic comparison between IPF and donor lung distal explant tissue,Homo sapiens,,24676,5,,,,,,broad,Pulmonary fibrosis remains a significant public health concern due to an increasing incidence and limited treatment options. Alveolar type 2 epithelial cell (AT2) senescence causes stem cell exhaustio
GSE293234,Cellular Heterogeneity of HTII-280–Labeled Epithelial Cells in Healthy and Fibrotic Human Lungs,Homo sapiens,,24676,5,,,,,,rnaseq,"Previous work demonstrated that in idiopathic pulmonary fibrosis (IPF), the representation of AT2 cells is markedly reduced, accompanied by an increased presence of airway epithelial populations such "
GSE293962,STL1267 Inhibits Myofibroblast Differentiation in a TGFβ1-Driven Human Lung Fibroblast Model,Homo sapiens,,24676,16,,,,,,rnaseq,"Pulmonary fibrosis is a progressive interstitial lung disease characterized by excessive fibroblast-to-myofibroblast transition (FMT) and extracellular matrix (ECM) deposition, largely driven by trans"
GSE294211,Macrophage-Mediated IL1beta/IL23 Signaling Regulates gamma delta (gammadelta) T Cell Immunity Against Non-Tuberculous My,Homo sapiens,,24676,2,,,,,,rnaseq,Mechanistic Insights. Our study reveals the crucial role of gammadelta T cells in non-tuberculous mycobacteria (NTM) infection. We observed a significant increase and activation of gammadelta T cells 
GSE294260,Dual roles of fibroblast-epithelial crosstalk in acute and chronic lung injury,Homo sapiens,,20301,70,,,,,,rnaseq,"Dysfunctional interactions between fibroblasts and epithelial cells contribute to the progression of chronic lung diseases, including idiopathic pulmonary fibrosis. Our findings showed that chronic ep"
GSE295740,The NAMPT/SIRT7/SOD2 axis regulates alveolar progenitor cell renewal and pulmonary fibrosis [bulkRNA-seq],Homo sapiens,,34281,12,,,,,,rnaseq,"We employed bulk RNA sequencing using the UCLA Technology Center for Genomics &Bioinformatics platform to investigate the role of nicotinamide phosphoribosyltransferase (NAMPT), a key enzyme in NAD+ b"
GSE296513,Impaired AMPK Control of Alveolar Epithelial Cell Metabolism Promotes Pulmonary Fibrosis,Homo sapiens; Mus musculus,,16417;21493;21290,45,,,,,,rnaseq,Alveolar epithelial type II (AT2) cell dysfunction is implicated in the pathogenesis of familial and sporadic idiopathic pulmonary fibrosis (IPF). We previously demonstrated that expression of an AT2 
GSE296682,Single-cell transcriptomics of bronchoalveolar lavage reveals divergent macrophage subpopulations and trajectories in in,Homo sapiens,,24676,9,,,,,,rnaseq,RATIONALE: Interstitial lung diseases (ILDs) encompass a diverse range of fibrotic conditions and contribute to significant respiratory morbidity and mortality. Assessment of the cellular composition 
GSE297646,DOT1L enhances BLM-induced pulmonary fibrosis by inducing endothelial-to-mesenchymal transition via H3K79me2 [RNA-seq],Homo sapiens,,34284,6,,,,,,rnaseq,"Endothelial-to-mesenchymal transition (EndoMT) have been reported to contribute to pulmonary fibrosis. Here, we showed that induction of EndoMT activated DOT1L expression and enhanced H3K79me2 level b"
GSE297776,Luteolin Modulates miRNA–mRNA Regulatory Networks to Attenuate TGF-β1-Induced Fibrogenesis: Insights from Next-Generatio,Homo sapiens,,18573;24676,6,,,,,,rnaseq,"Luteolin has demonstrated therapeutic potential against pulmonary fibrosis, yet the underlying miRNA-mediated regulatory mechanisms remain poorly defined. In this study, we employed next-generation se"
GSE298439,γδ T Cells Target and Ablate Senescent Cells in Aging and Alleviate Pulmonary Fibrosis,Homo sapiens,,34281,2,,,,,,rnaseq,"A variety of physiological and pathological stimuli elicit the cellular senescence response. Immune cells are known to execute surveillance of infected, cancerous, and senescent cells, and yet senesce"
GSE298860,Macropinocytosis inhibition attenuates pro-fibrotic responses in lung fibroblasts and pulmonary fibrosis,Homo sapiens,,18573,12,,,,,,rnaseq,"We conducted a bulk RNA sequencing experiment to determine the effect of macropinocytosis inhibitor (5-(N-ethyl-N-isopropyl)-Amiloride, EIPA) in lung fibroblasts"
GSE300087,Macropinocytosis inhibition attenuates pro-fibrotic responses in lung fibroblasts and pulmonary fibrosis,Homo sapiens,,24676,7,,,,,,rnaseq,"We conducted a single cell RNA sequencing experiment to determine the effect of a macropinocytosis inhibitor (5-(N-ethyl-N-isopropyl)-Amiloride, EIPA) in Precision Cut Lung Slices."
GSE301181,Identification of IPF Specific Genes Expressed by Lung Tissue - Derived Fibroblasts Using Next Generation Sequencing,Homo sapiens,,24676,43,,,,,,rnaseq,This study presents transcriptomic profiling of primary lung fibroblasts derived from patients with idiopathic pulmonary fibrosis (IPF) and histologically normal controls. Total RNA sequencing was per
GSE301982,The pleuroparenchymal fibroelastosis atlas reveals aberrant cell states and their zonation as an alternate roadmap to lu,Homo sapiens,,24676,4,,,,,,rnaseq,"Single-nuclei RNA-sequencing (snRNA-seq) using the 10x Genomics Flex technology was performed in peripheral lung tissues from  PPFE patients undergoing lung re-transplantation, and from  healthy contr"
GSE302114,Mitochondrial One-Carbon Metabolism is Required for TGF-β-Induced Glycine Synthesis and Collagen Protein Production,Homo sapiens,,24676,18,,,,,,rnaseq,"A hallmark of Idiopathic Pulmonary Fibrosis is the TGF-β-dependent activation of lung fibroblasts, leading to excessive deposition of collagen proteins and progressive scarring. We have previously sho"
GSE302810,Macrophage-Mediated IL1beta/IL23 Signaling Regulates gamma delta (gammadelta) T Cell Immunity Against Non-Tuberculous My,Homo sapiens,,24676,4,,,,,,rnaseq,Mechanistic Insights. Our study reveals the crucial role of gammadelta T cells in non-tuberculous mycobacteria (NTM) infection. We observed a significant increase and activation of gammadelta T cells 
GSE303335,Disease-associated genetic variants can cause missense effects in tissue-specific protein isoforms,Homo sapiens,,26167,12,,,,,,rnaseq,"Genetic variants can cause protein-coding mutations that result in disease. Variants are typically interpreted using the reference transcript for a gene. However, most human multi-exon genes encode al"
GSE303858,Profibrotic monocyte-derived alveolar macrophages as a biomarker and therapeutic target in systemic sclerosis-associated,Homo sapiens,,24676,8,,,,,,rnaseq,Interstitial lung disease (ILD) is present in over 60% of patients with systemic sclerosis (SSc) and is the leading cause of SSc-related deaths. Profibrotic monocyte-derived alveolar macrophages (MoAM
GSE303859,Profibrotic monocyte-derived alveolar macrophages as a biomarker and therapeutic target in systemic sclerosis-associated,Homo sapiens,,24676,15,,,,,,rnaseq,Interstitial lung disease (ILD) is present in over 60% of patients with systemic sclerosis (SSc) and is the leading cause of SSc-related deaths. Profibrotic monocyte-derived alveolar macrophages (MoAM
GSE304185,Calumenin prevents fibroblasts senescence and lung aging by promoting vimentin proteostasis,Homo sapiens,,24676,4,,,,,,rnaseq,"Progressive lung fibrosis is linked to aging-related dysfunction in fibroblasts, which remains poorly understood. We aimed to assess the impact of calumenin deficiency on fibroblast senescence and lun"
GSE305464,Pre-clinical proof-of-concept of anti-fibrotic activity of caveolin-1 scaffolding domain peptide LTI-03 in ex vivo preci,Homo sapiens,,34281,94,,,,,,rnaseq,Human lung tissues from idiopathic pulmonary fibrosis (IPF) patients undergoing lung transplantation and non-IPF donors were obtained via the European IPF Registry (euIPFreg) sites Vienna and Giessen 
